"","DEN","BUF","PIT","NO","NYJ","JAX","CAR","CHI","CLE","DET","IND","SF","LA","DAL","WAS","LAC","NE","ATL","PHI","KC","HOU","GB","BAL","TB","ARI","OAK","NYG","SEA","CIN","TEN","MIN","MIA"
"DEN",0,0,0,0,0,13.5,0,0,0,0,0,0,0,5.5,20,0.5,0,0,0,8.5,20,0,0,0,0,20,0,0,0,20,0,0
"BUF",0,0,0,0,19.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"PIT",0,10.5,0,0,15.5,0,0,0,14,7.5,0,0,0,0,0,0,0,0,0,0,0,8.5,0.5,0,0,0,0,0,6.5,0,0,0.5
"NO",0,15.5,0,0,0,0,7,0,0,0,0,0.5,0,20,0,0,0,6.5,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"NYJ",0,0,0,3.5,0,0,0,0,8.5,0,0,0,0,0,0,0,0.5,4.5,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0
"JAX",0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"CAR",0,0,0,0,6.5,0,0,0,0,0,0,3.5,11.5,0,0,0,1.5,11.5,0,0,0,0,0,19.5,0,0,0,0,0,0,20,6.5
"CHI",0,0,0,0,0,0,0,0,10.5,0,0,0,0,14.5,0,0,0,0,0,0,0,1,0,0,0,0,2.5,0,0,0,0,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0
"DET",0,0,0,0,0,0,0,4.5,16.5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1.5,0
"IND",3.5,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,12.5,0,0,0,0,0,0,0,0,5.5,0,0
"SF",0,0,0,0,0,20,0,0,0,0,0,0,7.5,0,20,0,0,6.5,0,0,20,0,0,20,7.5,0,0,0,0,15.5,0,0
"LA",0,0,0,8.5,0,0,0,17.5,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,7.5,0,0,0,0,0,0,0,0
"DAL",0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,7.5,0,0,0,6,0,0,0,0,0,0,5.5,4.5,0,0,0,0.5,0
"WAS",0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,4.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAC",0,0,0,0,0,20,0,0,0,0,7.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,20,0,0,0,0,0
"NE",1.5,11.5,20,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,20,0,0,0,0,0,0,0,0,3
"ATL",0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"PHI",0,0,0,0,0,0,0,20,0,11.5,0,0,0,0,5.5,0,0,0,0,0,0,16.5,0,13.5,0.5,20,0,0,0,0,0,0
"KC",0,10.5,0,0,0,0,0,0,3.5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"HOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0
"GB",0,0,0,0,0,0,0,0,15.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,6,0
"BAL",0,0,0,0,13.5,0,0,0.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"TB",0,18.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"ARI",0,0,0,0,0,15.5,13.5,0,0,0,20,0,16.5,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
"OAK",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0
"NYG",0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,10.5,0,0,0,11.5,0,0,10.5,0,0,0,1.5,0,0,0,0,14.5,0
"SEA",0,0,0,20,0,0,0,0,0,0,0,0.5,11,0,0,0,0,20,0,0,0,0,0,0.5,2.5,0,20,1,0,5.5,17.5,0
"CIN",0,5.5,0,0,20,0,0,0,17.5,5.5,11.5,0,0,0,0,9.5,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,20,1.5
"TEN",0,0,0,0,0,1.5,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,3.5,0,0,0,0,6.5,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4.5,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIA",0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
