"","GB","BAL","LA","TB","CHI","KC","JAX","HOU","CLE","LAC","SF","ARI","WAS","NYJ","MIA","DEN","DET","BUF","PIT","NO","CAR","MIN","TEN","IND","NE","ATL","NYG","CIN","PHI","OAK","SEA","DAL"
"GB",0,0,20,9,12,0,0,0,0,5,0,0,0,0,0,20,8,0,0,9,7,20,0,0,0,11,2,0,0,20,0,0
"BAL",0,0,20,0,0,0,0,15,10,0,10,4,0,15,0,0,0,0,15.5,0,0,0,0,14,0,0,0,7.5,0,0,0,0
"LA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"TB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0
"CHI",0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,3,16,0,0,0,17,0,0,7,0,0,0
"KC",5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,11.5,0,0
"JAX",0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"HOU",0,0,0,20,0,0,9,0,18,0,0,0,0,0,10,0,0,0,7,0,0,0,16,11.5,0,7,0,1,0,0,0,0
"CLE",0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0
"LAC",0,20,0,0,0,0,20,0,0,0,0,0,0,0,10,1.5,0,20,0,0,0,7,0,0,0,0,0,0,0,2.5,0,0
"SF",0,0,16.5,20,0,0,0,0,10,0,0,7,8,0,0,0,6,0,17,0,0,0,0,0,0,0,7,5,1,0,8.5,0
"ARI",0,0,4.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,6
"WAS",0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0
"NYJ",0,0,0,0,0,20,20,0,0,7,0,0,15,0,7.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MIA",0,0,0,0,0,20,0,0,0,0,0,0,11,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"DEN",0,0,0,0,3,1.5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4.5,0,0
"DET",0,0,0,8,0,20,0,0,0,20,0,0,0,0,0,20,0,0,0,0,14,3.5,0,0,0,0,0,0,0,2,0,2
"BUF",0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
"PIT",0,0,20,0,0,4,4,0,7.5,0,0,12,0,0,0,0,0,0,0,0,0,0,20,3,8,0,0,17,0,0,20,0
"NO",0,0,0,2.5,17,0,13,7,0,0,0,0,0,0,0,0,14,0,0,0,15.5,20,5,20,0,15.5,20,0,0,0,0,0
"CAR",0,0,0,20,0,0,6,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"MIN",0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"TEN",0,13,0,7,0,0,2,0,17,0,0,0,0,0,0,3,0,6,0,0,20,0,0,1.5,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",0,0,0,0,0,20,0,0,0,14,0,0,6,14.5,8.5,18,0,12.5,0,0,0,0,0,7,0,0,0,0,18,12,0,4
"ATL",0,0,0,9.5,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,11,10,6,20,0,0,0,0,4,0,2,0
"NYG",0,0,11,0,0,0,0,0,0,0,0,4,0,15,3,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,10
"CIN",0,0,7,0,0,0,9,0,6.5,0,0,7,0,0,0,0,0,4,0,0,0,0,7,9,0,0,0,0,0,0,20,0
"PHI",0,0,17,0,0,0,0,0,0,0,0,0,15.5,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"OAK",0,0,0,0,5,0,0,2,7,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"SEA",0,5,16.5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0
"DAL",0,0,20,17,0,0,0,0,0,0,3,0,2.5,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0
