"","NE","BUF","WAS","TEN","HOU","DET","CLE","CHI","CIN","LA","SF","GB","DAL","MIN","DEN","BAL","TB","PIT","NO","KC","JAX","IND","CAR","OAK","LAC","SEA","ATL","NYG","PHI","NYJ","ARI","MIA"
"NE",0,20,0,0,1.5,0,0,0,0,0,0,0,0,0,20,0,7.5,5.5,18.5,0,0,0,0,20,1.5,0,13.5,0,0,13.5,0,6
"BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0.5,0,0,8.5,0,3.5,0,16.5,0,0,7.5,0,0,0,0,7
"WAS",0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,13.5,0,0,0,0,0,0,0,0,14.5,0,5.5,0,1.5,0,0,2.5,0
"TEN",0,0,0,0,0,0,5.5,0,1.5,0,0.5,0,0,0,0,0.5,0,0,0,0,13.5,9,0,0,0,3.5,0,0,0,0,0,0
"HOU",0,0,0,15.5,0,0,14.5,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,7.5,0
"DET",0,0,0,0,0,0,10.5,6,0,0,0,18.5,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,15.5,0,0,9.5,0
"CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI",0,0,0,0,0,0,14.5,0,20,0,0,0,0,0,0,6.5,0,3.5,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0
"CIN",0,1.5,0,0,0,6.5,19,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",0,0,0,7.5,20,0,0,0,0,0,0,0,7.5,0,0,0,0,0,3.5,0,11.5,20,0,0,0,14.5,0,20,0,0,20,0
"SF",0,0,0.5,0,12.5,0,0,4.5,0,9.5,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,7.5,0,0,0,0
"GB",0,0,0,0,0,0,8.5,14,1.5,0,0,0,6.5,0,0,0,2.5,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0
"DAL",0,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,8.5,0,0,0,5.5,0,0,0,18,0,0,13.5,0
"MIN",0,0,10.5,0,0,0,19.5,8.5,20,14.5,0,14.5,0,0,0,5.5,14.5,0,7.5,0,0,0,0,0,0,0,7.5,0,0,0,0,0
"DEN",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,20,0,0
"BAL",0,0,0,0,4.5,20,15,0,8.5,0,0,20,0,0,0,0,0,0,0,0,0,4.5,0,14.5,0,0,0,0,0,0,0,20
"TB",0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,11.5
"PIT",0,0,0,20,20,7.5,3,0,9,0,0,0.5,0,14.5,0,9,0,0,0,10.5,0,5.5,0,0,0,0,0,0,0,0,0,0
"NO",0,20,0.5,0,0,10.5,0,5.5,0,0,0,11.5,0,0,0,0,7,0,0,0,0,0,15.5,0,0,0,3.5,0,0,9.5,0,20
"KC",17.5,0,6.5,0,9.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,15.5,0,0,0,4.5,0,0,13.5
"JAX",0,0,0,0,20,0,14.5,0,12.5,0,0,0,0,0,0,20,0,20,0,0,0,20,0,0,0.5,3.5,0,0,0,0,0,0
"IND",0,0,0,0,8,0,0.5,0,2.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR",5.5,3.5,0,0,0,5.5,0,0,0,0,20,4.5,0,4.5,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,20
"OAK",0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,20,0,5.5
"LAC",0,20,15.5,0,0,0,6.5,0,0,0,0,0,20,0,8.5,0,0,0,0,0,0,0,0,10.5,0,0,0,7.5,0,9.5,0,0
"SEA",0,0,0,0,0,0,0,0,0,0,7,0,10.5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,19.5,11.5,0,2,0
"ATL",0,0,0,0,0,7.5,0,8.5,0,0,0,7.5,17.5,0,0,0,8.5,0,0,0,0,0,4.5,0,0,4.5,0,0,0,7.5,0,0
"NYG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"PHI",0,0,11,0,0,0,0,20,0,11.5,18.5,0,10,0,20,0,0,0,0,0,0,0,7.5,6.5,4.5,0,0,4,0,0,20,0
"NYJ",0,2,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1.5,0,0,0,0,0,0,0,0,0,0,5.5
"ARI",0,0,0,2.5,0,0,0,0,0,0,6.5,0,0,0,0,0,4.5,0,0,0,1.5,5.5,0,0,0,0,0,19.5,0,0,0,0
"MIA",0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,4.5,0,5.5,0,0,0,0,0
