"","team","win_perc_2011"
"1","GB",0.9375
"2","BAL",0.75
"3","LA",0.125
"4","TB",0.25
"5","CHI",0.5
"6","KC",0.4375
"7","JAX",0.3125
"8","HOU",0.625
"9","CLE",0.25
"10","LAC",0.5
"11","SF",0.8125
"12","ARI",0.5
"13","WAS",0.3125
"14","NYJ",0.5
"15","MIA",0.375
"16","DEN",0.5
"17","DET",0.625
"18","BUF",0.375
"19","PIT",0.75
"20","NO",0.8125
"21","CAR",0.375
"22","MIN",0.1875
"23","TEN",0.5625
"24","IND",0.125
"25","NE",0.8125
"26","ATL",0.625
"27","NYG",0.5625
"28","CIN",0.5625
"29","PHI",0.5
"30","OAK",0.5
"31","SEA",0.4375
"32","DAL",0.5
