"","DEN","ATL","TEN","PHI","NYJ","NO","KC","BAL","HOU","JAX","SEA","DAL","IND","ARI","WAS","SF","BUF","CAR","PIT","NYG","NE","DET","CLE","LA","LAC","OAK","MIN","CHI","MIA","GB","CIN","TB"
"DEN",0,0,109.5,0,0,0,0,0,61.5,0,0,0,132.5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,37.5,106.5
"ATL",119.5,0,0,0,0,0,14.5,0,0,0,43.5,0,0,13.5,0,263.5,0,147.5,0,0,0,0,0,0,0,90.5,0,0,0,19.5,0,34
"TEN",0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,51.5,0,0,10.5,0.5,0,212.5,29.5,0,0
"PHI",0,113.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,160.5,0,0,116.5,100.5,0,0,0,0,10.5,0,0,0,0
"NYJ",0,0,0,0,0,0,26.5,84.5,0,0,0,0,0,0,0,56.5,99.5,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0
"NO",21.5,21,0,0,0,0,151.5,0,0,0,1.5,0,0,77.5,0,99.5,0,131.5,0,0,0,0,0,293.5,0,2.5,0,0,0,0,0,47
"KC",24.5,0,0,0,0,0,0,0,0,0,0,0,159.5,0,0,0,0,0,0,0,0,0,0,0,0,99.5,0,0,0,0,0,0
"BAL",0,0,0,0,0,0,0,0,0,81.5,0,0,0,0,0,0,133.5,0,0,0,0,0,124.5,0,0,138.5,0,0,204.5,0,0,0
"HOU",0,0,46,0,0,0,45.5,0,0,91.5,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,36.5,43.5,0,71.5,0,12.5,0,0
"JAX",112.5,0,15,0,0,0,232.5,0,0,0,0,0,66.5,0,0,0,9.5,0,0,0,0,22.5,0,0,45.5,0,0,0,0,39.5,0,0
"SEA",0,0,0,114.5,63.5,0,0,0,0,0,0,0,0,0,0,142.5,0,248.5,0,0,49.5,0,0,69.5,0,0,0,0,115.5,38.5,0,0
"DAL",0,0,0,9,0,0,0,34.5,0,0,0,0,0,0,0,147.5,0,0,0,6,0,41.5,215.5,0,0,0,0,42.5,0,66.5,42.5,158.5
"IND",0,0,33.5,0,185.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,143.5,0,0,0,0,0
"ARI",0,0,0,0,151.5,0,0,0,0,0,81.5,0,0,0,21.5,82,66.5,5.5,0,0,0,0,0,176.5,0,0,87.5,0,2.5,0,0,95.5
"WAS",0,0,0,102.5,0,0,0,18.5,0,0,0,102,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,42.5,34.5,0,76.5,145.5,0
"SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.5,0,0,0,0,131.5,0,0,0
"BUF",0,0,0,0,0,0,0,0,0,0,163.5,0,0,0,0,176.5,0,0,0,0,61,0,167.5,0,0,0,0,0,0,0,56.5,0
"CAR",40.5,0,0,0,0,0,70.5,0,0,0,0,0,0,0,117.5,212.5,0,0,0,0,0,0,0,0,0,5.5,78.5,0,0,0,0,66
"PIT",0,0,0,0,102.5,0,66.5,19.5,0,0,0,11.5,73.5,0,65.5,0,199.5,0,0,140.5,0,0,0,0,0,0,0,0,0,0,61,0
"NYG",0,0,0,21.5,0,114.5,0,29.5,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,0
"NE",18.5,0,0,0,65,0,0,133.5,0,0,0,0,0,33.5,0,159.5,0,0,1.5,0,0,0,253.5,225.5,0,0,0,0,62,0,65.5,0
"DET",0,0,0,0,0,67.5,0,0,34.5,0,0,0,10.5,0,0,0,0,0,0,38.5,0,0,0,0,0,0,0,0,0,26,0,0
"CLE",0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,93.5,0,0,0,9.5,32.5,0,0,0,0,0,0,0,0,20.5,0,0,0
"LA",0,11.5,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,25.5,80.5,0,98.5,0,53.5,0,0,0,0,0,0,0,0,0,0
"LAC",3,54.5,68.5,0,0,56.5,4,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,119.5,0,0,0,0,0,27.5,0,0,0
"OAK",0,0,0,0,0,0,0,0,0,14.5,0,0,51.5,0,0,0,4.5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,368.5
"MIN",0,0,0,55.5,0,0,0,0,122.5,76.5,0,39.5,0,0,0,0,0,0,0,12.5,0,12,0,0,0,0,0,0,0,59.5,0,0
"CHI",0,0,21.5,0,0,0,0,0,0,57.5,0,0,140.5,0,0,164.5,0,0,0,0.5,0,59,0,0,0,0,47,0,0,0,0,0
"MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,160.5,0,0,0,0,27.5,0,0,0,0,0,0,0,0
"GB",0,0,0,109.5,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,109.5,0,0,0,0
"CIN",0,0,0,38.5,55.5,0,0,25,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,156.5,0,0,0,0,0,125.5,0,0,0
"TB",0,0,0,0,0,0,113.5,0,0,0,78.5,0,0,0,0,254.5,0,0,0,0,0,0,0,137.5,35.5,0,0,62.5,0,0,0,0
