"","team","win_perc_2013"
"1","DEN",0.8125
"2","BUF",0.375
"3","PIT",0.5625
"4","NO",0.6875
"5","NYJ",0.5
"6","JAX",0.25
"7","CAR",0.71875
"8","CHI",0.5
"9","CLE",0.25
"10","DET",0.4375
"11","IND",0.6875
"12","SF",0.75
"13","LA",0.4375
"14","DAL",0.5
"15","WAS",0.1875
"16","LAC",0.5625
"17","NE",0.75
"18","ATL",0.28125
"19","PHI",0.625
"20","KC",0.6875
"21","HOU",0.125
"22","GB",0.53125
"23","BAL",0.5
"24","TB",0.25
"25","ARI",0.625
"26","OAK",0.25
"27","NYG",0.4375
"28","SEA",0.8125
"29","CIN",0.6875
"30","TEN",0.4375
"31","MIN",0.34375
"32","MIA",0.4375
